IATA,ICAO,Airport name,Country,City
COQ,ZMCD,Choibalsan Airport,Mongolia,Choibalsan
COR,SACO,Ingeniero Ambrosio Taravella Airport,Argentina,Cordoba
COS,KCOS,City of Colorado Springs Municipal Airport,United States of America,Colorado Springs
COT,KCOT,Cotulla-La Salle County Airport,United States of America,Cotulla
COU,KCOU,Columbia Regional Airport,United States of America,Columbia
COW,SCCQ,Tambillos Airport,Chile,Coquimbo
COX,MYAK,Congo Town Airport,Bahamas,Andros
COY,YCWY,Coolawanyah Airport,Australia,Coolawanyah Station
COZ,MDCZ,Constanza - Expedición 14 de Junio National Airport,Dominican Republic,Costanza
CPA,GLCP,Cape Palmas Airport,Liberia,Harper
CPB,SKCA,Capurganá Airport,Colombia,Capurganá
CPC,SAZY,Aviador C. Campos Airport,Argentina,Chapelco/San Martin de los Andes
CPD,YCBP,Coober Pedy Airport,Australia,
CPE,MMCP,Ingeniero Alberto Acuña Ongay International Airport,Mexico,Campeche
CPF,WARC,Ngloram Airport,Indonesia,Tjepu-Java Island
CPG,,Carmen De Patagones Airport,Argentina,Carmen de Patagones
CPH,EKCH,Copenhagen Kastrup Airport,Denmark,Copenhagen
CPI,,Cape Orford Airport,Papua New Guinea,
CPL,SKHA,Chaparral Airport,Colombia,Chaparral
CPM,KCPM,Compton Woodley Airport,United States of America,Compton
CPN,,Cape Rodney Airport,Papua New Guinea,Cape Rodney
CPO,SCAT,Desierto de Atacama Airport,Chile,Copiapo
CPP,SCKP,Coposa Airport,Chile,Pica
CPQ,SDAM,Amarais Airport,Brazil,Campinas
CPR,KCPR,Casper-Natrona County International Airport,United States of America,Casper
CPS,KCPS,St Louis Downtown Airport,United States of America,Cahokia/St Louis
CPT,FACT,Cape Town International Airport,South Africa,Cape Town
CPU,SNCU,Cururupu Airport,Brazil,Cururupu
CPV,SBKG,Presidente João Suassuna Airport,Brazil,Campina Grande
CPX,TJCP,Benjamin Rivera Noriega Airport,Puerto Rico,Culebra Island
CQA,SWEK,Canarana Airport,Brazil,Canarana
CQD,OIFS,Shahrekord Airport,Iran,Shahrekord
CQF,LFAC,Calais-Dunkerque Airport,France,Calais/Dunkerque
CQP,YCFL,Cape Flattery Airport,Australia,Cooktown
CQS,SWCQ,Costa Marques Airport,Brazil,Costa Marques
CQT,,Caquetania Airport,Colombia,Caquetania
CRA,LRCV,Craiova Airport,Romania,Craiova
CRB,YCBR,Collarenebri Airport,Australia,Lightning Ridge
CRC,SKGO,Santa Ana Airport,Colombia,Cartago
CRD,SAVC,General E. Mosconi Airport,Argentina,Comodoro Rivadavia
CRE,KCRE,Grand Strand Airport,United States of America,North Myrtle Beach
CRF,FEFC,Carnot Airport,Central African Republic,Carnot
CRG,KCRG,Jacksonville Executive at Craig Airport,United States of America,Jacksonville
CRH,YCHB,Cherrabah Airport,Australia,Cherrabah Homestead Resort
CRI,MYCI,Colonel Hill Airport,Bahamas,Colonel Hill
CRJ,,Coorabie Airport,Australia,Coorabie
CRK,RPLC,Diosdado Macapagal International Airport,Philippines,Angeles/Mabalacat
CRL,EBCI,Brussels South Charleroi Airport,Belgium,Brussels
CRM,RPVF,Catarman National Airport,Philippines,Catarman
CRO,KCRO,Corcoran Airport,United States of America,Corcoran
CRP,KCRP,Corpus Christi International Airport,United States of America,Corpus Christi
CRQ,SBCV,Caravelas Airport,Brazil,Caravelas
CRR,SANW,Ceres Airport,Argentina,Ceres
CRS,KCRS,C David Campbell Field Corsicana Municipal Airport,United States of America,Corsicana
CRT,KCRT,Z M Jack Stell Field,United States of America,Crossett
CRU,TGPZ,Lauriston Airport,Grenada,Carriacou Island
CRV,LIBC,Crotone Airport,Italy,Crotone
CRW,KCRW,Yeager Airport,United States of America,Charleston
CRX,KCRX,Roscoe Turner Airport,United States of America,Corinth
CRY,,Carlton Hill Airport,Australia,Carlton Hill
CRZ,UTAV,Turkmenabat Airport,Turkmenistan,Türkmenabat
CSA,EGEY,Colonsay Airstrip,United Kingdom,Colonsay
CSB,LRCS,Caransebeş Airport,Romania,Caransebeş
CSC,MRMJ,Mojica Airport,Costa Rica,Cañas
CSD,,Cresswell Downs Airport,Australia,Cresswell Downs
CSE,,Crested Butte Airpark,United States of America,Crested Butte
CSF,LFPC,Creil Air Base,France,Creil
CSG,KCSG,Columbus Metropolitan Airport,United States of America,Columbus
CSH,ULAS,Solovki Airport,Russia,Solovetsky Islands
CSI,YCAS,Casino Airport,Australia,Casino
CSK,GOGS,Cap Skirring Airport,Senegal,Cap Skirring
CSM,KCSM,Clinton Sherman Airport,United States of America,Clinton
CSN,KCXP,Carson Airport,United States of America,Carson City
CSO,EDBC,Cochstedt Airport,Germany,Magdeburg
CSQ,KCSQ,Creston Municipal Airport,United States of America,Creston
CSR,,Casuarito Airport,Colombia,Casuarito
CSS,SSCL,Cassilândia Airport,Brazil,Cassilândia
CSU,SSSC,Santa Cruz do Sul Airport,Brazil,Santa Cruz Do Sul
CSV,KCSV,Crossville Memorial Whitson Field,United States of America,Crossville
CSX,ZGHA,Changsha Huanghua International Airport,China,Changsha
CSY,UWKS,Cheboksary Airport,Russia,Cheboksary
CSZ,SAZC,Brigadier D.H.E. Ruiz Airport,Argentina,Coronel Suarez
CTA,LICC,Catania-Fontanarossa Airport,Italy,Catania
CTB,KCTB,Cut Bank International Airport,United States of America,Cut Bank
CTC,SANC,Catamarca Airport,Argentina,Catamarca
CTD,MPCE,Alonso Valderrama Airport,Panama,Chitré
CTE,,Carti Airport,Panama,Carti
CTF,MGCT,Coatepeque Airport,Guatemala,Coatepeque
CTG,SKCG,Rafael Nuñez International Airport,Colombia,Cartagena
CTH,KMQS,Chester County G O Carlson Airport,United States of America,Coatesville
CTI,FNCV,Cuito Cuanavale Airport,Angola,Cuito Cuanavale
CTK,,Canton Municipal Airport,United States of America,Canton
CTL,YBCV,Charleville Airport,Australia,Charleville
CTM,MMCM,Chetumal International Airport,Mexico,Chetumal
CTN,YCKN,Cooktown Airport,Australia,Cooktown
CTO,,Calverton Executive Airpark,United States of America,Calverton
CTP,SNCP,Carutapera Airport,Brazil,Carutapera
CTQ,SSVP,Santa Vitória do Palmar Airport,Brazil,Santa Vitória Do Palmar
CTR,YCAC,Cattle Creek Airport,Australia,
CTS,RJCC,New Chitose Airport,Japan,Chitose / Tomakomai
CTT,LFMQ,Le Castellet Airport,France,Le Castellet
CTU,ZUUU,Chengdu Shuangliu International Airport,China,Chengdu
CTX,,Cortland County Chase Field,United States of America,Cortland
CTY,KCTY,Cross City Airport,United States of America,Cross City
CTZ,KCTZ,Sampson County Airport,United States of America,Clinton
CUA,MMDA,Ciudad Constitución Airport,Mexico,Ciudad Constitución
CUB,KCUB,Jim Hamilton L.B. Owens Airport,United States of America,Columbia
CUC,SKCC,Camilo Daza International Airport,Colombia,Cúcuta
CUD,YCDR,Caloundra Airport,Australia,Caloundra
CUE,SECU,Mariscal Lamar Airport,Ecuador,Cuenca
CUF,LIMZ,Cuneo International Airport,Italy,Cuneo
CUG,YCUA,Cudal Airport,Australia,Molong
CUH,KCUH,Cushing Municipal Airport,United States of America,Cushing
CUI,,Currillo Airport,Colombia,Currillo
CUJ,,Culion Airport,Philippines,Culion Island
CUK,,Caye Caulker Airport,Belize,Caye Caulker
CUL,MMCL,Bachigualato Federal International Airport,Mexico,Culiacán
CUM,SVCU,Cumaná (Antonio José de Sucre) Airport,Venezuela,Cumaná
CUN,MMUN,Cancún International Airport,Mexico,Cancún
CUO,SKCR,Carurú Airport,Colombia,Carurú
CUP,SVCP,General Francisco Bermúdez Airport,Venezuela,Carúpano
CUQ,YCOE,Coen Airport,Australia,Coen
CUR,TNCC,Hato International Airport,Curacao,Willemstad
CUT,SAZW,Cutral-Co Airport,Argentina,Cutral-Co
CUU,MMCU,General Roberto Fierro Villalobos International Airport,Mexico,Chihuahua
CUV,SVCG,Casigua El Cubo Airport,Venezuela,Casigua El Cubo
CUY,YCUE,Cue Airport,Australia,
CUZ,SPZO,Alejandro Velasco Astete International Airport,Peru,Cusco
CVB,,Chungribu Airport,Papua New Guinea,Chungribu
CVC,YCEE,Cleve Airport,Australia,
CVE,SKCV,Coveñas Airport,Colombia,Coveñas
CVF,LFLJ,Courchevel Airport,France,Courcheval
CVG,KCVG,Cincinnati Northern Kentucky International Airport,United States of America,Cincinnati
CVH,SAHE,Caviahue Airport,Argentina,Lafontaine
CVI,,Caleta Olivia Airport,Argentina,Caleta Olivia
CVJ,MMCB,General Mariano Matamoros Airport,Mexico,Unidad Habitacional José María Morelos y Pavón
CVL,,Cape Vogel Airport,Papua New Guinea,
CVM,MMCV,General Pedro Jose Mendez International Airport,Mexico,Ciudad Victoria
CVN,KCVN,Clovis Municipal Airport,United States of America,Clovis
CVO,KCVO,Corvallis Municipal Airport,United States of America,Corvallis
CVQ,YCAR,Carnarvon Airport,Australia,Carnarvon
CVS,KCVS,Cannon Air Force Base,United States of America,Clovis
CVT,EGBE,Coventry Airport,United Kingdom,Coventry
CVU,LPCR,Corvo Airport,Portugal,Corvo
CWA,KCWA,Central Wisconsin Airport,United States of America,Mosinee
CWB,SBCT,Afonso Pena Airport,Brazil,Curitiba
CWC,UKLN,Chernivtsi International Airport,Ukraine,Chernivtsi
CWE,HECW,Cairo West Airport,Egypt,El Cairo
CWF,KCWF,Chennault International Airport,United States of America,Lake Charles
CWI,KCWI,Clinton Municipal Airport,United States of America,Clinton
CWJ,ZPCW,Cangyuan Washan Airport,China,Cangyuan Va Autonomous County
CWL,EGFF,Cardiff International Airport,United Kingdom,Cardiff
CWP,,Campbellpore Airport,Pakistan,Campbellpore
CWR,YCWI,Cowarie Airport,Australia,
CWS,,Center Island Airport,United States of America,Center Island
CWT,YCWR,Cowra Airport,Australia,Cowra
CWW,YCOR,Corowa Airport,Australia,
CWX,,Cochise County Airport,United States of America,Willcox
CXA,SVCD,Caicara del Orinoco Airport,Venezuela,
CXB,VGCB,Cox's Bazar Airport,Bangladesh,Cox's Bazar
CXC,,Chitina Airport,United States of America,Chitina
CXF,PACX,Coldfoot Airport,United States of America,Coldfoot
CXI,PLCH,Cassidy International Airport,Kiribati,Banana
CXJ,SBCX,Hugo Cantergiani Regional Airport,Brazil,Caxias Do Sul
CXL,KCXL,Calexico International Airport,United States of America,Calexico
CXM,FNCX,Camaxilo Airport,Angola,Camaxilo
CXN,HCMC,Candala Airport,Somalia,Candala
CXO,KCXO,Conroe-North Houston Regional Airport,United States of America,Houston
CXP,WIHL,Tunggul Wulung Airport,Indonesia,Cilacap-Java Island
CXQ,YCRK,Christmas Creek Station Airport,Australia,Christmas Creek
CXR,VVCR,Cam Ranh Airport,Vietnam,Nha Trang
CXT,YCHT,Charters Towers Airport,Australia,Charters Towers
CXY,MYCC,Cat Cay Airport,Bahamas,North Cat Cay
CYA,MTCA,Les Cayes Airport,Haiti,Les Cayes
CYB,MWCB,Gerrard Smith International Airport,Cayman Islands,Cayman Brac
CYC,,Caye Chapel Airport,Belize,Caye Chapel
CYD,MZMF,Town Airstrip,Belize,San Ignacio
CYF,PACK,Chefornak Airport,United States of America,Chefornak
CYG,YCRG,Corryong Airport,Australia,Jindabyne
CYI,RCKU,Chiayi Airport,Taiwan,Chiayi City
CYL,MHCS,Coyoles Airport,Honduras,Coyoles
CYO,MUCL,Vilo Acuña International Airport,Cuba,Cayo Largo del Sur
CYP,RPVC,Calbayog Airport,Philippines,Calbayog City
CYR,SUCA,Laguna de Los Patos International Airport,Uruguay,Colonia del Sacramento
CYS,KCYS,Cheyenne Regional Jerry Olson Field,United States of America,Cheyenne
CYT,PACY,Yakataga Airport,United States of America,Yakataga
CYU,RPLO,Cuyo Airport,Philippines,Cuyo
CYW,MMCY,Captain Rogelio Castillo National Airport,Mexico,Celaya
CYX,UESS,Cherskiy Airport,Russia,Cherskiy
CYZ,RPUY,Cauayan Airport,Philippines,Cauayan City
CZA,MMCT,Chichen Itza International Airport,Mexico,Chichen Itza
CZB,SSAK,Carlos Ruhl Airport,Brazil,Cruz Alta
CZC,,Copper Center 2 Airport,United States of America,Copper Center
CZE,SVCR,José Leonardo Chirinos Airport,Venezuela,Coro
CZF,PACZ,Cape Romanzof LRRS Airport,United States of America,Cape Romanzof
CZH,,Corozal Municipal Airport,Belize,Corozal
CZJ,,Corazón de Jesús Airport,Panama,Corazón de Jesús and Narganá Islands
CZK,,Cascade Locks State Airport,United States of America,Cascade Locks
CZL,DABC,Mohamed Boudiaf International Airport,Algeria,Constantine
CZM,MMCZ,Cozumel International Airport,Mexico,Cozumel
CZN,,Chisana Airport,United States of America,Chisana
CZO,,Chistochina Airport,United States of America,Chistochina
CZS,SBCZ,Cruzeiro do Sul Airport,Brazil,Cruzeiro Do Sul
CZT,KCZT,Dimmit County Airport,United States of America,Carrizo Springs
CZU,SKCZ,Las Brujas Airport,Colombia,Corozal
CZW,EPCH,Częstochowa-Rudniki,Poland,Częstochowa
CZX,ZSCG,Changzhou Benniu Airport,China,Changzhou
CZY,YUNY,Cluny Airport,Australia,
DAA,KDAA,Davison Army Air Field,United States of America,Fort Belvoir
DAB,KDAB,Daytona Beach International Airport,United States of America,Daytona Beach
DAC,VGZR,Hazrat Shahjalal International Airport,Bangladesh,Dhaka
DAD,VVDN,Da Nang International Airport,Vietnam,Da Nang
DAF,,Daup Airport,Papua New Guinea,Madang
DAG,KDAG,Barstow Daggett Airport,United States of America,Daggett
DAK,HEDK,Dakhla Airport,Egypt,
DAL,KDAL,Dallas Love Field,United States of America,Dallas
DAM,OSDI,Damascus International Airport,Syria,Damascus
DAN,KDAN,Danville Regional Airport,United States of America,Danville
DAO,,Dabo Airport,Papua New Guinea,Kokoda
DAP,VNDL,Darchula Airport,Nepal,Darchula
DAR,HTDA,Julius Nyerere International Airport,Tanzania,Dar es Salaam
DAS,,Great Bear Lake Airport,Canada,Great Bear Lake
DAT,ZBDT,Datong Airport,China,Datong
DAU,AYDU,Daru Airport,Papua New Guinea,Daru
DAV,MPDA,Enrique Malek International Airport,Panama,David
DAX,ZUDX,Dachuan Airport,China,Dazhou
DAY,KDAY,James M Cox Dayton International Airport,United States of America,Dayton
DAZ,OADZ,Darwaz Airport,Afghanistan,Darwaz
DBA,OPDB,Dalbandin Airport,Pakistan,Dalbandin
DBB,HEAL,El Alamein International Airport,Egypt,El Alamein
DBC,,Baicheng Chang'an Airport,China,Baicheng
DBD,VEDB,Dhanbad Airport,India,Dhanbad
DBM,HADM,Debra Marcos Airport,Ethiopia,Debra Marcos
DBN,KDBN,W H 'Bud' Barron Airport,United States of America,Dublin
DBO,YSDU,Dubbo City Regional Airport,Australia,Dubbo
DBP,,Debepare Airport,Papua New Guinea,Debepare
DBQ,KDBQ,Dubuque Regional Airport,United States of America,Dubuque
DBS,,Dubois Municipal Airport,United States of America,Dubois
DBT,HADT,Debre Tabor Airport,Ethiopia,Debre Tabor
DBV,LDDU,Dubrovnik Airport,Croatia,Dubrovnik
DBY,YDAY,Dalby Airport,Australia,Dalby
DCA,KDCA,Ronald Reagan Washington National Airport,United States of America,Arlington
DCF,TDCF,Canefield Airport,Dominica,Canefield
DCI,LIED,Decimomannu Air Base,Italy,Decimomannu
DCK,,Dahl Creek Airport,United States of America,Dahl Creek
DCM,LFCK,Castres-Mazamet Airport,France,Castres/Mazamet
DCN,YCIN,RAAF Base Curtin,Australia,Derby
DCT,MYRD,Duncan Town Airport,Bahamas,Duncan Town
DCU,KDCU,Pryor Field Regional Airport,United States of America,Decatur
DCY,ZUDC,Daocheng Yading Airport,China,Daocheng County
DDC,KDDC,Dodge City Regional Airport,United States of America,Dodge City
DDD,VRMU,Dhaalu Atoll Airport,Maldives,Kudahuvadhoo
DDG,,Dandong Airport,China,Dandong
DDM,,Dodoima Airport,Papua New Guinea,
DDN,YDLT,Delta Downs Airport,Australia,
DDU,,Dadu West Airport,Pakistan,Dadu
DEA,OPDG,Dera Ghazi Khan Airport,Pakistan,Dera Ghazi Khan
DEB,LHDC,Debrecen International Airport,Hungary,Debrecen
DEC,KDEC,Decatur Airport,United States of America,Decatur
DED,VIDN,Dehradun Airport,India,Dehradun
DEE,UHSM,Mendeleyevo Airport,Russia,Kunashir Island
DEF,OIAD,Dezful Airport,Iran,Shush
DEH,KDEH,Decorah Municipal Airport,United States of America,Decorah
DEI,FSSD,Denis Island Airport,Seychelles,Denis Island
DEL,VIDP,Indira Gandhi International Airport,India,New Delhi
DEM,HADD,Dembidollo Airport,Ethiopia,Dembidollo
DEN,KDEN,Denver International Airport,United States of America,Denver
DEP,VEDZ,Daporijo Airport,India,Daporijo
DER,,Derim Airport,Papua New Guinea,Derim
DES,FSDR,Desroches Airport,Seychelles,Desroches Island
DET,KDET,Coleman A. Young Municipal Airport,United States of America,Detroit
DEX,,Nop Goliat Airport,Indonesia,Dekai - Yahukimo
DEZ,OSDZ,Deir ez-Zor Air Base,Syria,Deir ez-Zor
DFI,KDFI,Defiance Memorial Airport,United States of America,Defiance
DFP,YDDF,Drumduff Airport,Australia,Drumduff
DFW,KDFW,Dallas Fort Worth International Airport,United States of America,Dallas
DGA,,Dangriga Airport,Belize,Dangriga
DGD,YDGA,Dalgaranga Gold Mine Airport,Australia,Melville
DGE,YMDG,Mudgee Airport,Australia,Mudgee
DGF,,Douglas Lake Airport,Canada,Douglas Lake
DGL,KDGL,Douglas Municipal Airport,United States of America,Douglas
DGN,KNDY,Dahlgren Naval Surface Warfare Center Airport,United States of America,Dahlgren
DGO,MMDO,General Guadalupe Victoria International Airport,Mexico,Durango
DGP,EVDA,Daugavpils Intrenational Airport,Latvia,Daugavpils
DGR,NZDA,Dargaville Aerodrome,New Zealand,Dargaville
DGT,RPVD,Sibulan Airport,Philippines,Dumaguete City
DGU,DFOD,Dedougou Airport,Burkina Faso,Dedougou
DGW,KDGW,Converse County Airport,United States of America,Douglas
DHA,OEDR,King Abdulaziz Air Base,Saudi Arabia,Dhahran
DHD,YDRH,Durham Downs Airport,Australia,
DHF,OMAM,Al Dhafra Air Base,United Arab Emirates,Abu Dhabi
DHG,,Dalnegorsk Airport,Russia,Dalnegorsk
DHI,VNDH,Dhangarhi Airport,Nepal,Dhangarhi
DHM,VIGG,Kangra Airport,India,Yol
DHN,KDHN,Dothan Regional Airport,United States of America,Dothan
DHR,EHKD,De Kooy Airport,Netherlands,Den Helder
DHT,KDHT,Dalhart Municipal Airport,United States of America,Dalhart
DIA,OTBD,Doha International Airport,Qatar,Doha
DIB,VEMN,Dibrugarh Airport,India,Dibrugarh
DIE,FMNA,Arrachart Airport,Madagascar,Antsiranana
DIG,ZPDQ,Diqing Airport,China,Shangri-La
DIJ,LFSD,Dijon-Bourgogne Airport,France,Dijon/Longvic
DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,United States of America,Dickinson
DIL,WPDL,Presidente Nicolau Lobato International Airport,East Timor,Dili
DIM,DIDK,Dimbokro Airport,Ivory Coast,Dimbokro
DIN,VVDB,Dien Bien Phu Airport,Vietnam,Dien Bien Phu
DIP,DFED,Diapaga Airport,Burkina Faso,Diapaga
DIQ,SNDV,Brigadeiro Cabral Airport,Brazil,Divinópolis
DIR,HADR,Aba Tenna Dejazmach Yilma International Airport,Ethiopia,Dire Dawa
DIS,FCPL,Ngot Nzoungou Airport,Republic of the Congo,Dolisie
DIU,,Diu Airport,India,Diu
DIY,LTCC,Diyarbakir Airport,Turkey,Diyarbakir
DJA,DBBD,Djougou Airport,Benin,Djougou
DJB,WIPA,Sultan Thaha Airport,Indonesia,Jambi-Sumatra Island
DJE,DTTJ,Djerba Zarzis International Airport,Tunisia,Djerba
DJG,DAAJ,Djanet Inedbirene Airport,Algeria,Djanet
DJJ,WAJJ,Sentani International Airport,Indonesia,Jayapura-Papua Island
DJM,FCBD,Djambala Airport,Republic of the Congo,Djambala
DJN,,Delta Junction Airport,United States of America,Delta Junction
DJO,DIDL,Daloa Airport,Ivory Coast,Daloa
DJR,YDAJ,Dajarra Airport,Australia,
DJU,BIDV,Djúpivogur Airport,Iceland,Djúpivogur
DKA,,Katsina Airport,Nigeria,Katsina
DKI,YDKI,Dunk Island Airport,Australia,Dunk Island
DKK,KDKK,Chautauqua County-Dunkirk Airport,United States of America,Dunkirk
DKR,GOOY,Léopold Sédar Senghor International Airport,Senegal,Dakar
DKS,UODD,Dikson Airport,Russia,Dikson
DKV,YDVR,Docker River Airport,Australia,
DLA,FKKD,Douala International Airport,Cameroon,Douala
DLC,ZYTL,Zhoushuizi Airport,China,Dalian
DLD,ENDI,Geilo Airport Dagali,Norway,Dagali
DLE,LFGJ,Dole-Tavaux Airport,France,Dole/Tavaux
DLF,KDLF,DLF Airport,United States of America,Del Rio
DLG,PADL,Dillingham Airport,United States of America,Dillingham
DLH,KDLH,Duluth International Airport,United States of America,Duluth
DLI,VVDL,Lien Khuong Airport,Vietnam,Da Lat
DLK,YDLK,Dulkaninna Airport,Australia,Dulkaninna
DLL,KDLC,Dillon County Airport,United States of America,Dillon
DLM,LTBS,Dalaman International Airport,Turkey,Dalaman
DLN,KDLN,Dillon Airport,United States of America,Dillon
DLR,,Dalnerechensk Airport,Russia,Dalnerechensk
DLS,KDLS,Columbia Gorge Regional the Dalles Municipal Airport,United States of America,The Dalles
DLU,ZPDL,Dali Airport,China,Xiaguan
DLV,YDLV,Delissaville Airport,Australia,Darwin
DLY,NVVD,Dillon's Bay Airport,Vanuatu,Dillon's Bay
DLZ,ZMDZ,Dalanzadgad Airport,Mongolia,Dalanzadgad
DMA,KDMA,Davis Monthan Air Force Base,United States of America,Tucson
DMB,UADD,Taraz Airport,Kazakhstan,Taraz
DMD,YDMG,Doomadgee Airport,Australia,
DME,UUDD,Domodedovo International Airport,Russia,Moscow
DMK,VTBD,Don Mueang International Airport,Thailand,Bangkok
DMM,OEDF,King Fahd International Airport,Saudi Arabia,Ad Dammam
DMN,KDMN,Deming Municipal Airport,United States of America,Deming
DMO,KDMO,Sedalia Memorial Airport,United States of America,Sedalia
DMT,SWDM,Diamantino Airport,Brazil,Diamantino
DMU,VEMR,Dimapur Airport,India,Dimapur
DNA,RODN,Kadena Air Base,Japan,Okinawa
DNB,YDBR,Dunbar Airport,Australia,
DND,EGPN,Dundee Airport,United Kingdom,Dundee
DNF,,Martubah Airport,Libya,Derna
DNG,YDGN,Doongan Airport,Australia,
DNH,ZLDH,Dunhuang Airport,China,Dunhuang
DNI,HSWD,Wad Medani Airport,Sudan,Wad Medani
DNK,UKDD,Dnipropetrovsk International Airport,Ukraine,Dnipropetrovsk
DNL,KDNL,Daniel Field,United States of America,Augusta
DNN,KDNN,Dalton Municipal Airport,United States of America,Dalton
DNO,SWDN,Dianópolis Airport,Brazil,Dianópolis
DNP,VNDG,Tulsipur Airport,Nepal,Dang
DNQ,YDLQ,Deniliquin Airport,Australia,Deniliquin
DNR,LFRD,Dinard-Pleurtuit-Saint-Malo Airport,France,Dinard/Pleurtuit/Saint-Malo
DNS,KDNS,Denison Municipal Airport,United States of America,Denison
DNU,AYDN,Dinangat Airport,Papua New Guinea,Dinangat
DNV,KDNV,Vermilion Regional Airport,United States of America,Danville
DNX,HSGG,Galegu Airport,Sudan,Dinder
DNZ,LTAY,Çardak Airport,Turkey,Denizli
DOA,,Doany Airport,Madagascar,Doany
DOB,WAPD,Rar Gwamar Airport,Indonesia,Dobo-Warmar Island
DOC,,Dornoch Airfield,United Kingdom,Dornoch
DOD,HTDO,Dodoma Airport,Tanzania,Dodoma
DOE,,Djumu-Djomoe Airport,Suriname,Djumu-Djomoe
DOG,HSDN,Dongola Airport,Sudan,Dongola
DOH,,Hamad International Airport,Qatar,Doha
DOI,AYDO,Doini Airport,Papua New Guinea,Castori Islets
DOL,LFRG,Deauville-Saint-Gatien Airport,France,Deauville
DOM,TDPD,Douglas-Charles Airport,Dominica,Marigot
DON,,Dos Lagunas Airport,Guatemala,Dos Lagunas
DOO,,Dorobisoro Airport,Papua New Guinea,Dorobisoro
DOP,VNDP,Dolpa Airport,Nepal,Dolpa
DOR,DFEE,Dori Airport,Burkina Faso,Dori
DOU,SSDO,Dourados Airport,Brazil,Dourados
DOV,KDOV,Dover Air Force Base,United States of America,Dover
DOX,YDRA,Dongara Airport,Australia,Geraldton
DOY,,Dongying Shengli Airport,China,Dongying
DPA,KDPA,Dupage Airport,United States of America,Chicago/West Chicago
DPB,SCBI,Pampa Guanaco Airport,Chile,Bahia Inutil
DPE,LFAB,St Aubin Airport,France,Dieppe
DPG,KDPG,Michael AAF (Dugway Proving Ground) Airport,United States of America,Dugway Proving Ground
DPL,RPMG,Dipolog Airport,Philippines,Dipolog City
DPO,YDPO,Devonport Airport,Australia,Devonport
DPS,WADD,Ngurah Rai (Bali) International Airport,Indonesia,Denpasar-Bali Island
DPT,,Deputatskiy Airport,Russia,Deputatskiy
DQA,,Saertu Airport,China,Daqing Shi
DQH,PALP,Alpine Airstrip,United States of America,Deadhorse
DQM,,Duqm International Airport,Oman,Duqm
DRA,KDRA,Desert Rock Airport,United States of America,Mercury
DRB,YDBY,Derby Airport,Australia,Derby
DRC,,Dirico Airport,Angola,Dirico
DRD,YDOR,Dorunda Airport,Australia,Dorunda Outstation
DRE,KDRM,Drummond Island Airport,United States of America,Drummond Island
DRF,,Drift River Airport,United States of America,Kenai
DRG,PADE,Deering Airport,United States of America,Deering
DRH,,Dabra Airport,Indonesia,Dabra-Papua Island
DRI,KDRI,Beauregard Regional Airport,United States of America,De Ridder
DRJ,SMDA,Drietabbetje Airport,Suriname,Drietabbetje
DRK,MRDK,Drake Bay Airport,Costa Rica,Puntarenas
DRN,YDBI,Dirranbandi Airport,Australia,
DRO,KDRO,Durango La Plata County Airport,United States of America,Durango
DRR,YDRI,Durrie Airport,Australia,
DRS,EDDC,Dresden Airport,Germany,Dresden
DRT,KDRT,Del Rio International Airport,United States of America,Del Rio
DRU,,Drummond Airport,United States of America,Drummond
DRV,VRMD,Dharavandhoo Airport,Maldives,Baa Atoll
DRW,YPDN,Darwin International Airport,Australia,Darwin
DRY,YDRD,Drysdale River Airport,Australia,
DSC,FKKS,Dschang Airport,Cameroon,Dschang
DSD,TFFA,La Désirade Airport,Guadeloupe,Grande Anse
DSE,HADC,Combolcha Airport,Ethiopia,Dessie
DSG,,Dilasag Airport,Philippines,Dilasag
DSI,KDTS,Destin Executive Airport,United States of America,Destin
DSK,OPDI,Dera Ismael Khan Airport,Pakistan,Dera Ismael Khan
DSM,KDSM,Des Moines International Airport,United States of America,Des Moines
DSN,ZBDS,Ordos Ejin Horo Airport,China,Ordos
DSO,ZKSD,Sondok Airport,North Korea,Sŏndŏng-ni
DSS,GOBD,Blaise Diagne International Airport,Senegal,Dakar
DSV,KDSV,Dansville Municipal Airport,United States of America,Dansville
DSX,,Dongsha Island Airport,Taiwan,Pratas Island
DTA,KDTA,Delta Municipal Airport,United States of America,Delta
DTB,WIMN,Silangit Airport,Indonesia,Siborong-Borong
DTD,WALJ,Datadawai Airport,Indonesia,Datadawai-Borneo Island
DTE,RPUD,Daet Airport,Philippines,Daet
DTH,,Furnace Creek Airport,United States of America,Death Valley National Park
DTI,SNDT,Diamantina Airport,Brazil,Diamantina
DTL,KDTL,Detroit Lakes Airport - Wething Field,United States of America,Detroit Lakes
DTM,EDLW,Dortmund Airport,Germany,Dortmund
DTN,KDTN,Shreveport Downtown Airport,United States of America,Shreveport
DTR,,Decatur Shores Airport,United States of America,Decatur
DTU,ZYDU,Wudalianchi Dedu Airport,China,Wudalianchi
DTW,KDTW,Detroit Metropolitan Wayne County Airport,United States of America,Romulus
DUA,KDUA,Eaker Field,United States of America,Durant
DUB,EIDW,Dublin Airport,Ireland,Dublin
DUC,KDUC,Halliburton Field,United States of America,Duncan
DUD,NZDN,Dunedin Airport,New Zealand,Dunedin
DUE,FNDU,Dundo Airport,Angola,Chitato
